Company Name,Website,Industry,Product/Service Category,"Business Type (B2B, B2B2C)",Employees Count,Revenue,Year Founded,BBB Rating,Street,City,State,Company Phone,Company LinkedIn,Owner's First Name,Owner's Last Name,Owner's Title,Owner's LinkedIn,Owner's Phone Number,Owner's Email,Source
Getting Hired Powered by CareerCircle,https://www.linkedin.com/company/gettinghired,"Getting Hired is a talent engagement platform dedicated to building diverse workforces and connecting underrepresented talent to employers cultivating inclusive environments. Established in 2008 with a focus on supporting people with disabilities, the scope of Getting Hired has grown to encompass diversity and inclusion as a whole. As an Allegis Group company, we have the resources and support of the largest talent solutions organization in the US, and our ability to connect diverse talent to inclusive employers is unparalleled. We provide employers with solutions for attracting, recruiting, hiring, and retaining the underrepresented talent they need to meet their goals while also complying with OFCCP regulations. We provide job seekers with a fully-accessible career portal and connections to various employment resources! For more information or to join our network, visit our website at www.careercircle.com.","careers, jobs, people with disabilities, employment, Diversity, Inclusion, Equity, Belonging, Recruitment, Talent Acquisition, BIPOC, Veterans, DEI, Recruiting Technology, Disability, and Job Board",<function <lambda> at 0x7ea4e77326b0>,15,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,7312 Parkway Drive,Ha,+1-983-560-3375x30912,https://www.linkedin.com/company/gettinghired,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Kafene,https://www.linkedin.com/company/kafene,"Kafene is a leading point-of-sale financing partner dedicated to empowering flexible ownership solutions for underserved customers nationwide. By enabling our retail partners to offer flexible lease-to-own (LTO) purchase options for prime and nonprime consumers, Kafene helps merchants expand their customer base, and meet growing demand for furniture, appliances, electronics, tires, and other durable goods. Utilizing more than 20,000 data inputs in tandem with cutting-edge AI and machine learning technologies, our platform creates the best-in-class financing experience for both merchants and customers. With over $100 million in sales achieved in under 3 years, we are continuing our growth trajectory and scaling rapidly, led by our innovative and dedicated team. Our talented team of over 100 people values and celebrates our culture, and we are proudly selected as one of the Built In Startups to Watch and Best Startups to Work for in NYC, Lendit Emerging Fintech Company finalist, and Forbes' Best Startup Employers.","Machine Learning, Fintech, Artificial Intelligence, Enterprise Sales, and Financial Modeling",<function <lambda> at 0x7ea4e77326b0>,124,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,New York,Ne,+1-983-560-3375x30912,https://www.linkedin.com/company/kafene,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
"OmniTRAX, Inc.",https://www.linkedin.com/company/omnitrax-inc-,"Reliable Rail Services. Proven Real Estate Solutions. OmniTRAX is a smarter way to ship. Powered by Rail & Real Estate. We’re proud of who we are, and what we’ve been able to accomplish in a relatively short time. Working in conjunction with our sister company BREG we combine the advantages of real estate and rail with capabilities to will build buildings, develop infrastructure, and provide lease options to suit your needs as an invested partner. We continue to add new services, new companies, and new railroads to help businesses of all sizes grow. We’re dedicated to Powering your Business through our bundled services that include rail freight, terminal and switching services, multimodal transloading, car storage as well as land purchase and industrial development. With access to more than one Class I railroad at most of our properties, we offer a competitive option to suit your supply chain needs. Above all we are committed to service consistency and safety in everything that we do.","Transload, Real Estate, Energy Solutions, Frac Sand Terminals, Transportation, Terminal Operations, Grain Storage, Industrial Development, Industrial Parks, Switching Services, Energy Solutions, Supply Chain, Car Storage, Short Line Railroads, Rail Transportation, Transloading, Railcar Storage, Railcar Repair, and Railroad Transportation",<function <lambda> at 0x7ea4e77326b0>,261,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,252 Clayton Street,Su,+1-983-560-3375x30912,https://www.linkedin.com/company/omnitrax-inc-,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Mad Street Den,https://www.linkedin.com/company/mad-street-den,"Mad Street Den® is a computer vision and artificial intelligence company, founded with a mission to make people all over the globe, A.I natives. The team’s mission is to build models of generalizable intelligence and create actionable ways to contextualize AI on scale, helping millions of people across the globe to become A.I native. Its proprietary AI stack, Vue.ai® is one of the world’s first general-purpose AI platforms that enables large enterprises around the world to build a wide range of AI-enabled applications across workflows and functions. Vue.ai delivers value unlike any other point solution bringing together image, video, and text data from across the enterprise, decoding them with its AI stack, enabling the intelligence to feed across the enterprise for data-driven decision-making. With a combination of ready-to-use APIs, no-code, and low-code tools, Vue.ai enables marketing, product, business, and technology teams to bring an order of magnitude impact to revenue growth, efficiency, and cost reduction. Vue.ai is currently deployed across several industries, including Retail, Finance, Insurance, Logistics, and Healthcare. Mad Street Den is funded by marquee investors, including Sequoia Capital and Falcon Edge Capital. With about $30M in funding and a star-studded AI team, we’re now looking to grow our organization across the globe rapidly and are hiring for the following positions. The company has over 220+ employees across the US, Japan, and India - and we’re still growing!","Computer Vision, Artificial Intelligence, Machine Learning, Retail Technology, Ecommerce, Fashion Technology, AI Stylist, Retail, Image Recognition, Fashion, and Deep Learning",<function <lambda> at 0x7ea4e77326b0>,284,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,203 Redwood Shores Parkway,Su,+1-983-560-3375x30912,https://www.linkedin.com/company/mad-street-den,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
North Marin Community Services,https://www.linkedin.com/company/northmarincommunityservices,"With over 50 years of service to people in need in North Marin, our mission is to empower youth, adults, and families in our diverse community to achieve well-being, growth, and success. We envision a strong community with opportunities for all. North Marin Community Services (NMCS) evolved as a 501(c)(3) on January 1, 2018 through a merger between the Novato Youth Center and Novato Human Needs Center (founded in 1972). As a result, now stronger and better positioned to serve Marin County, we provide trauma informed, integrated and culturally appropriate services. Our person-centered approach to care offers individuals a chance to achieve a better quality of life. As the anchor human services nonprofit organization serving North Marin, our multi-service organization is called upon to address health disparities for children, adults, families, seniors, and immigrants. Our services help to correct Marin’s extreme income, racial, and educational inequalities, and ensure opportunities for all, especially our most vulnerable clients. Our program areas of Case Management, Mental Health and Wellness, Latine Programs, and Child Development are delivered by an experienced and diverse team of 66 staff members and 255+ volunteers. Half of our staff are bilingual, enabling us to serve a culturally and socio-economically diverse mix of families in North Marin. NMCS has earned the highest possible rating from Charity Navigator (platinum/four stars) and has received multiple awards in recognition of excellence. NMCS was named a Best Place to Work by the North Bay Business Journal in 2021 and 2022 and received the Center for Volunteer & Nonprofit Leadership’s Heart of Marin Excellence in Leadership Award in 2022.","human services, childcare, mental health, early childhood education, food pantry, community support, case management, immigration support, employment, sports leagues, rental assistance, latino leadership, teen health education, crisis support, youth enrichment, financial planning, and low income support",<function <lambda> at 0x7ea4e77326b0>,55,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,680 Wilson Avenue,No,+1-983-560-3375x30912,https://www.linkedin.com/company/northmarincommunityservices,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Jetty,https://www.linkedin.com/company/jetty.,"Jetty is the financial services platform on a mission to make renting a home more affordable and flexible. Jetty's integrated suite of products helps property managers increase lease conversions, improve resident retention, reduce bad debt, and boost NOI. For renters, Jetty decreases the financial burden of moving into a new home and offers greater flexibility with how and when to pay rent. To learn more about Jetty, visit jetty.com.","consumer, design, insurtech, startup, and entrepreneurism",<function <lambda> at 0x7ea4e77326b0>,139,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,217 Centre St,Ma,+1-983-560-3375x30912,https://www.linkedin.com/company/jetty.,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
eClear | borderfree,https://www.linkedin.com/company/eclear-ag,"eClear specialises in automating VAT and customs processes for borderfree commerce within and into Europe. By defining harmonised EU standards and leveraging advanced technology, eClear provides innovative SaaS solutions that simplify compliance, enhance operational efficiency, and drive business growth for sellers, platforms, and marketplaces.","VAT Clearance, VAT Clearing, E-Commerce, Customs, cross-border e-commerce, Tariffs, VAT Returns, EU VAT Automation, Tax Payment Automation, Borderfree Commerce, Customs Automation, Tax Compliance, Tax Automation, Tax Technology, Transactional Taxes, IVA, TVA, MwSt, EU TAX Registration, OSS, iOSS, and VAT One Stop Shop",<function <lambda> at 0x7ea4e77326b0>,80,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,Französische Str. 56-60,Be,+1-983-560-3375x30912,https://www.linkedin.com/company/eclear-ag,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Freshworks,https://www.linkedin.com/company/freshworks-inc,"Freshworks (NASDAQ: FRSH) delivers modern, AI-powered customer and employee-service solutions that increase efficiency and improve engagement for companies of all sizes. Headquartered in San Mateo, California, Freshworks operates around the world to serve more than 67,000+ customers, including s American Express, Bridgestone, Databricks, Fila, Nucor, and Sony.","Customer Support Software, Helpdesk, Web 2.0, SaaS, Support Ticket System, Web Based Support Ticket System, CRM, ITSM, Applicant Tracking System, and Conversion Optimization Suite",<function <lambda> at 0x7ea4e77326b0>,8780,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,2950 S Delaware St,Su,+1-983-560-3375x30912,https://www.linkedin.com/company/freshworks-inc,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
PLANIUM,https://www.linkedin.com/company/planium-saude,"Acesso a saude de qualidade para todos os brasileiros, de forma simples e com condições financeiras adequadas.","PLANOS DE SAUDE, SEGURO SAUDE, BENEFICIOS, INSURETECH, FINTECH, ecommerce, and pay per use",<function <lambda> at 0x7ea4e77326b0>,50,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,Avenida João Cabral de Mello Neto 610,41,+1-983-560-3375x30912,https://www.linkedin.com/company/planium-saude,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Unqork,https://www.linkedin.com/company/unqork,"The Enterprise App Cloud empowering businesses to create, secure, and maintain the entire lifecycle of their applications in the cloud—all with zero code 🚀","SaaS for Life, P&C, Annuities, and Specialty Insurance, End-to-end process automation and digitization, Insurance quoting and applications, Asset and wealth management account opening, Underwriting automation, No-Code, and Enterprise Software",<function <lambda> at 0x7ea4e77326b0>,324,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,85 5th Ave,Ne,+1-983-560-3375x30912,https://www.linkedin.com/company/unqork,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Onit,https://www.linkedin.com/company/onit,"Onit is a global leader of enterprise software and artificial intelligence platforms and products for legal, compliance, sales, IT, HR and finance departments. Our software transforms best practices into smarter workflows, better processes and operational efficiencies. With a focus on enterprise legal management, matter management, legal spend management, contract lifecycle management and legal holds, we operate worldwide and help global companies and billion-dollar legal departments bridge the gap between systems of record and systems of engagement. Onit is the only company in our space with two platforms: Our leading no-code business process automation platform, Apptitude, and our business intelligence platform, Precedent. Apptitude allows customers to create, modify and deploy new software products and custom workflows. Onit’s legal AI platform, Precedent, enables our software products to read, write, and reason like a lawyer. Combined, the two platforms enable customers to digitally transform legal operations by automating processes, reducing costs and maximizing productivity with industry-leading cloud-based software. Onit, based in Houston, Texas, has offices worldwide. You can learn more by visiting our website at www.onit.com.","Process Automation, Legal Technology, Online Project Management, Business Collaboration Tools, Contract Review and Approval, Matter Management, Contract Lifecycle Management, Legal Service Requests, Legal Holds, e-Billing, Work, Enterprise Legal Management , Legal Software, Business Process Automation, Legal Department Operations, Legal Spend Management, Workflow Management, Business Continuity, NDA Management, Legal Operations, Workflow Tool, Law Department Operations, Workflow Automation, Artificial Intelligence, AI, and Machine Learning",<function <lambda> at 0x7ea4e77326b0>,393,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,Onit 1360 Post Oak Blvd.,Su,+1-983-560-3375x30912,https://www.linkedin.com/company/onit,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Hipcamp,https://www.linkedin.com/company/hipcamp,"Hipcamp is a growing community of good-natured people and the most comprehensive resource for unique outdoor stays. We work with landowners to offer tent camping, RV parks, cabins, treehouses, and glamping—everywhere from national parks to blueberry farms. By creating opportunities for landowners to earn money hosting nature lovers, Hipcamp works to support those who care for the land and get more people out under the stars. To see a full list of our job openings, https://www.hipcamp.com/en-US/careers","camping, outdoors, reservations, discovery, and land sharing",<function <lambda> at 0x7ea4e77326b0>,177,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,Remote,US,+1-983-560-3375x30912,https://www.linkedin.com/company/hipcamp,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Etsy,https://www.linkedin.com/company/etsy,"Etsy is the global marketplace for unique and creative goods. We build, power, and evolve the tools and technologies that connect millions of entrepreneurs with millions of buyers around the world. Etsy Inc. employees – whether a team member of Etsy, Reverb, or Depop – tackle unique, meaningful, and large-scale problems alongside passionate coworkers, all the while making a rewarding impact and Keeping Commerce Human. Founded in 2005, Etsy is headquartered in Brooklyn, NY with additional offices in Dublin and Mexico City. As of December 31, 2023, our marketplaces connect 9 million active sellers – including 7 million on Etsy.com, 80% of whom are women – and 96 million active buyers in nearly every country in the world. In 2023, we facilitated over $13 billion in transactions.",<function <lambda> at 0x7ea4e6c7be90>,<function <lambda> at 0x7ea4e77326b0>,9218,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,117 Adams St,Br,+1-983-560-3375x30912,https://www.linkedin.com/company/etsy,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Udemy,https://www.linkedin.com/company/udemy,"Our mission is to transform lives through learning. Through our global marketplace platform, we provide the tools learners, instructors, and enterprises need to achieve their goals and reach their full potential. We enjoy problem-solving and collaboration, and we share a serious belief in the power of learning and teaching to change lives. Udemy’s culture fosters inclusion and belonging and encourages innovation, creativity, passion, and teamwork. We also celebrate our milestones and support each other every day. Listen to our Udemy Business Leading Up podcast here ➡️ bit.ly/UdemyLeadingUp More about Udemy: — We have more than 70M learners and over 970M course enrollments on our platform. — More than 75K instructors are teaching over 220K courses in over 74 languages. — We have over 16K enterprise customers and more than half of the Fortune 100 are Udemy Business customers. — Udemy Business customers have access to more than 26K courses, more than 11K of which are in English.","e-learning, education, skills, technology, internet, marketplace, online learning, upskilling, reskilling, power skills, business, and corporate learning",<function <lambda> at 0x7ea4e77326b0>,8289,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,600 Harrison St,Fl,+1-983-560-3375x30912,https://www.linkedin.com/company/udemy,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Broadlume,https://www.linkedin.com/company/broadlume,"Our mission is pretty simple—we provide local flooring retailers with the technology they need to reach their fullest potential. With that, we are building a team of experts who are forward thinkers and who believe innovation is the way we set ourselves apart from the rest. Together we will reshape the flooring industry.","Technology, Google Ads, Facebook Ads, SEO, SEM, PPC, Flooring, Website Development, Digital Advertising, Online Marketing, CRM, Social Media, Performance Marketing, Marketplace, Directory, Dealers, Manufacturers, Distributors, Enterprise, and Website Design",<function <lambda> at 0x7ea4e77326b0>,150,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,500 Mamaroneck Ave,St,+1-983-560-3375x30912,https://www.linkedin.com/company/broadlume,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Yelp,https://www.linkedin.com/company/yelp-com,"Yelp connects people with great local businesses. Our users have contributed more than 265 million rich, local reviews of almost every type of local business, from restaurants, boutiques, and salons to dentists, mechanics, plumbers, and more. We are powered by a global community of collaborative people with shared values. Our employees are tenacious individuals who believe in our mission to connect people to great local businesses. In our remote-first workplace, your work makes a difference, you are seen as a whole person, and you are supported in your personal and professional growth. Your #FiveStarCareer starts here.",Connecting people with great local businesses,<function <lambda> at 0x7ea4e77326b0>,6761,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,140 New Montgomery St.,Sa,+1-983-560-3375x30912,https://www.linkedin.com/company/yelp-com,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
ChurnZero,https://www.linkedin.com/company/churnzero,"ChurnZero is your platform and partner for Customer Success. We help your subscription business succeed at scale by giving you everything you need to improve efficiency, increase revenue, and deliver the best possible customer experiences. ChurnZero helps your Customer Success team spot potential churn risks early and see renewal and expansion opportunities faster. Best-in-class automation and personalization, in-app communications, and Customer Success AI™ make it easy to engage with customers and lead them to value. Our platform offers journeys, health scores, survey tools, segmentation, plays, reporting, real-time alerts, walkthroughs, collaboration centers and more, and integrates easily with your CRM and tech stack. Beyond the software, we pride ourselves on being your team’s trusted partner, consultant, and coach, dedicated to helping you and your team focus on the work that matters most. Visit us at www.churnzero.com and discover the Customer Success platform and partner who'll help your business grow.","Customer Success, Customer Experience, SaaS, subscription business, Software, Customer Retention, Customer Experience, Retention, Customer Engagement, Account Management, B2B SaaS, Customer Onboarding, Customer Journeys, and customer onboarding",<function <lambda> at 0x7ea4e77326b0>,146,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,717 D Street,2n,+1-983-560-3375x30912,https://www.linkedin.com/company/churnzero,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
"Miva, Inc.",https://www.linkedin.com/company/miva-merchant,"Miva, Inc. is the creator of a groundbreaking ecommerce platform which powers more conversions, better integrations, and lower total cost of ownership for a broad range of exciting American businesses. With comprehensive solutions for all facets of online selling, Miva delivers modern omnichannel ecommerce for every customer and every industry. Recently voted one of the Best Places to Work In San Diego for the 4th year in a row, Miva is proud to offer a highly creative and inspiring work environment. Our team members include outstanding professionals from every sphere of online design and development, transcending conventional ecommerce every day with bold ideas and a deeply collaborative spirit. With 20 years of experience and more than 100 billion dollars in orders already processed, Miva's reputation as a trusted strategic partner is unparalleled. If you are interested in launching a dynamic career at the forefront of modern ecommerce, please visit miva.com/company.","Shopping Cart Software, 24/7 Live Support, PCI Compliant Ecommerce Hosting, Online Store, Payment Processing, Custom Website Design & Development, Ecommerce, Hosting, B2B Ecommerce, Business Scaling, Ecommerce Growth, Ecommerce Platform, API, Customer Service, Sales Enablement, Ecommerce Innovation, and Ecommerce Software",<function <lambda> at 0x7ea4e77326b0>,121,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,16870 W Bernardo Dr,ST,+1-983-560-3375x30912,https://www.linkedin.com/company/miva-merchant,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Analyticalways,https://www.linkedin.com/company/analyticalways,"Omnichannel stock management is a big challenge for the Retail world. Retailers face multiple challenges daily: numberless spreadsheets, human mistakes, lack of previsions, etc., which results in a high inversion and an inferior ROI than the one that could be achieved. Overstock and lost sales because of stock-outs are two of the main concerns in the Retail world. ROIvolution, our tool based on Artificial Intelligence, covers 360º of Retail End-to-End thanks to the Pre-Season, In-Season and Sales Team Management modules. Our consultancy team—experts in Retail—will guide you to implement a management method that will guarantee an increase in efficiency and profitability. Are you ready to join the ROIvolution?","Machine Learning, Retail, Demand Forecast, Comissions, Sales Management, Salesperson, Predictive Analytics, Stock Management, Replenishment, Mix Management, Merchandise planning, Buyers, Operations, Sales, Big Data, and Stock",<function <lambda> at 0x7ea4e77326b0>,93,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,Avenida de Bruselas,26,+1-983-560-3375x30912,https://www.linkedin.com/company/analyticalways,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
KNIME,https://www.linkedin.com/company/knime.com,"KNIME helps individuals and organizations make sense of data. KNIME Software bridges the worlds of dashboards and advanced analytics through an intuitive interface, appropriate for anybody working with data. It empowers more business experts to be self-sufficient and more data experts to push the business to the bleeding edge of modern data science, integrating the latest AI and Machine Learning techniques. KNIME is distinct in its open approach, which ensures easy adoption and future-proof access to new technologies.","data mining, business intelligence, data analysis, data integration, predictive models, statistics, workflow tool, reporting, data science, Machine Learning, open source, data analytics , Low Code, No Code, codeless, marketing analytics, manufacturing analytics , finance analytics, digital healthcare analytics, and healthcare analytics",<function <lambda> at 0x7ea4e77326b0>,249,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,Talacker 50,Zu,+1-983-560-3375x30912,https://www.linkedin.com/company/knime.com,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
Glider AI,https://www.linkedin.com/company/gliderai,"Glider AI Skills Validation Platform, Awarded Top 50 AI Software by G2 and SIA winner for most innovative HR technology, provides hiring solutions to help employers and staffing firms screen, assess, interview, and upskill talent. Global brands like Intuit, Amazon, and Capital One trust Glider to ensure talent quality and fit across any role in any industry whether for full time or contingent staffing programs. On average, customers see a 3x placement rate, a 50% reduction in time-to-fill, and a 98% improvement in candidate satisfaction. For more information, visit Glider AI.","Staffing Tools, Contingent Staffing Tools, Enterprise Hiring Software, Video Interviews, Customized Assessments, Skill Tests, Coding Tests, Recruiting Software, DE&I Recruitment, Interview Software, Human Resources, Technical Recruiting, Soft Skills, Aptitude Tests, Online Assessments, Video Interviewing, Live Coding Interview, Phone Screening, AI Hiring, AI Recruiting, Talent Management, Tech Hiring, AI Chatbot, Talent Acquisition, Unbiased Staffing Tools, Talent Curation, Aptitude Tests, Psychometric, AI Recruiting, and Learning & Development",<function <lambda> at 0x7ea4e77326b0>,104,<function <lambda> at 0x7ea4e6c7b0d0>,<function <lambda> at 0x7ea4e77318f0>,<function <lambda> at 0x7ea4e6c7b3f0>,1786 Tara Lock,19925 Stevens Creek Blvd,ST,+1-983-560-3375x30912,https://www.linkedin.com/company/gliderai,<function <lambda> at 0x7ea4e6c7b850>,<function <lambda> at 0x7ea4e6c7b490>,<function <lambda> at 0x7ea4e6c7b8f0>,<function <lambda> at 0x7ea4e6c7b990>,753.561.6986x07395,<function <lambda> at 0x7ea4e77324d0>,LinkedIn
